"","toa","thr"
"1724","Laggards","High Thresh."
"1725","Non-Adopters","Non-Adopters"
"1726","Non-Adopters","Non-Adopters"
"1727","Non-Adopters","Non-Adopters"
"1728","Laggards","High Thresh."
"1729","Non-Adopters","Non-Adopters"
"1730","Non-Adopters","Non-Adopters"
"1731","Non-Adopters","Non-Adopters"
"1732","Laggards","Low Thresh."
"1733","Non-Adopters","Non-Adopters"
"1734","Non-Adopters","Non-Adopters"
"1735","Late Majority","High Thresh."
"1736","Late Majority","Very Low Thresh."
"1737","Non-Adopters","Non-Adopters"
"1738","Non-Adopters","Non-Adopters"
"1739","Non-Adopters","Non-Adopters"
"1740","Late Majority","Very Low Thresh."
"1741","Late Majority","Very Low Thresh."
"1742","Non-Adopters","Non-Adopters"
"1743","Laggards","Low Thresh."
"1744","Non-Adopters","Non-Adopters"
"1745","Laggards","High Thresh."
"1746","Non-Adopters","Non-Adopters"
"1747","Non-Adopters","Non-Adopters"
"1748","Non-Adopters","Non-Adopters"
"1749","Non-Adopters","Non-Adopters"
"1750","Non-Adopters","Non-Adopters"
"1751","Non-Adopters","Non-Adopters"
"1752","Non-Adopters","Non-Adopters"
"1753","Late Majority","High Thresh."
"1754","Non-Adopters","Non-Adopters"
"1755","Non-Adopters","Non-Adopters"
"1756","Late Majority","High Thresh."
"1757","Non-Adopters","Non-Adopters"
"1758","Non-Adopters","Non-Adopters"
"1759","Laggards","High Thresh."
"1760","Non-Adopters","Non-Adopters"
"1761","Non-Adopters","Non-Adopters"
"1762","Non-Adopters","Non-Adopters"
"1763","Non-Adopters","Non-Adopters"
"1764","Non-Adopters","Non-Adopters"
"1765","Non-Adopters","Non-Adopters"
"1766","Non-Adopters","Non-Adopters"
"1767","Late Majority","Very Low Thresh."
"1768","Non-Adopters","Non-Adopters"
"1769","Late Majority","Low Thresh."
"1770","Non-Adopters","Non-Adopters"
"1771","Non-Adopters","Non-Adopters"
"1772","Non-Adopters","Non-Adopters"
"1773","Late Majority","Low Thresh."
"1774","Non-Adopters","Non-Adopters"
"1775","Non-Adopters","Non-Adopters"
"1776","Non-Adopters","Non-Adopters"
"1777","Non-Adopters","Non-Adopters"
"1778","Non-Adopters","Non-Adopters"
"1779","Laggards","High Thresh."
"1780","Non-Adopters","Non-Adopters"
"1781","Non-Adopters","Non-Adopters"
"1782","Non-Adopters","Non-Adopters"
"1783","Non-Adopters","Non-Adopters"
"1784","Non-Adopters","Non-Adopters"
"1785","Non-Adopters","Non-Adopters"
"1786","Non-Adopters","Non-Adopters"
"1787","Non-Adopters","Non-Adopters"
"1788","Non-Adopters","Non-Adopters"
"1789","Laggards","High Thresh."
"1790","Non-Adopters","Non-Adopters"
"1791","Non-Adopters","Non-Adopters"
"1792","Late Majority","Very Low Thresh."
"1793","Late Majority","High Thresh."
"1794","Non-Adopters","Non-Adopters"
"1795","Non-Adopters","Non-Adopters"
"1796","Non-Adopters","Non-Adopters"
"1797","Non-Adopters","Non-Adopters"
"1798","Non-Adopters","Non-Adopters"
"1799","Non-Adopters","Non-Adopters"
"1800","Non-Adopters","Non-Adopters"
"1801","Non-Adopters","Non-Adopters"
"1802","Non-Adopters","Non-Adopters"
"1803","Non-Adopters","Non-Adopters"
"1804","Non-Adopters","Non-Adopters"
"1805","Non-Adopters","Non-Adopters"
"1806","Non-Adopters","Non-Adopters"
"1807","Non-Adopters","Non-Adopters"
"1808","Non-Adopters","Non-Adopters"
"1809","Non-Adopters","Non-Adopters"
"1810","Non-Adopters","Non-Adopters"
"1811","Non-Adopters","Non-Adopters"
"1812","Non-Adopters","Non-Adopters"
"1813","Non-Adopters","Non-Adopters"
"1814","Non-Adopters","Non-Adopters"
"1815","Non-Adopters","Non-Adopters"
"1816","Non-Adopters","Non-Adopters"
"1817","Non-Adopters","Non-Adopters"
"1818","Non-Adopters","Non-Adopters"
"1819","Non-Adopters","Non-Adopters"
"1820","Non-Adopters","Non-Adopters"
"1821","Non-Adopters","Non-Adopters"
"1822","Non-Adopters","Non-Adopters"
"1823","Non-Adopters","Non-Adopters"
"1824","Non-Adopters","Non-Adopters"
"1825","Non-Adopters","Non-Adopters"
"1826","Non-Adopters","Non-Adopters"
"1827","Non-Adopters","Non-Adopters"
"1828","Non-Adopters","Non-Adopters"
"1829","Non-Adopters","Non-Adopters"
"1830","Non-Adopters","Non-Adopters"
"1831","Non-Adopters","Non-Adopters"
"1832","Non-Adopters","Non-Adopters"
"1833","Non-Adopters","Non-Adopters"
"1834","Non-Adopters","Non-Adopters"
"1835","Non-Adopters","Non-Adopters"
"1836","Non-Adopters","Non-Adopters"
"1837","Non-Adopters","Non-Adopters"
"1838","Non-Adopters","Non-Adopters"
"1839","Non-Adopters","Non-Adopters"
"1840","Non-Adopters","Non-Adopters"
"1841","Non-Adopters","Non-Adopters"
"1842","Non-Adopters","Non-Adopters"
"1843","Non-Adopters","Non-Adopters"
"1844","Non-Adopters","Non-Adopters"
"1845","Late Majority","High Thresh."
"1846","Late Majority","Low Thresh."
"1847","Non-Adopters","Non-Adopters"
"1848","Non-Adopters","Non-Adopters"
"1849","Non-Adopters","Non-Adopters"
"1850","Non-Adopters","Non-Adopters"
"1851","Non-Adopters","Non-Adopters"
"1852","Non-Adopters","Non-Adopters"
"1853","Non-Adopters","Non-Adopters"
"1854","Laggards","High Thresh."
"1855","Non-Adopters","Non-Adopters"
"1856","Non-Adopters","Non-Adopters"
"1857","Late Majority","High Thresh."
"1858","Laggards","Low Thresh."
"1859","Non-Adopters","Non-Adopters"
"1860","Non-Adopters","Non-Adopters"
"1861","Non-Adopters","Non-Adopters"
"1862","Non-Adopters","Non-Adopters"
"1863","Non-Adopters","Non-Adopters"
"1864","Non-Adopters","Non-Adopters"
"1865","Non-Adopters","Non-Adopters"
"1866","Non-Adopters","Non-Adopters"
"1867","Non-Adopters","Non-Adopters"
"1868","Non-Adopters","Non-Adopters"
"1869","Non-Adopters","Non-Adopters"
"1870","Non-Adopters","Non-Adopters"
"1871","Non-Adopters","Non-Adopters"
"1872","Non-Adopters","Non-Adopters"
"1873","Non-Adopters","Non-Adopters"
"1874","Non-Adopters","Non-Adopters"
"1875","Non-Adopters","Non-Adopters"
"1876","Non-Adopters","Non-Adopters"
"1877","Non-Adopters","Non-Adopters"
"1878","Non-Adopters","Non-Adopters"
"1879","Late Majority","High Thresh."
"1880","Non-Adopters","Non-Adopters"
"1881","Late Majority","High Thresh."
"1882","Non-Adopters","Non-Adopters"
"1883","Non-Adopters","Non-Adopters"
"1884","Non-Adopters","Non-Adopters"
"1885","Non-Adopters","Non-Adopters"
"1886","Late Majority","High Thresh."
"1887","Non-Adopters","Non-Adopters"
"1888","Non-Adopters","Non-Adopters"
"1889","Non-Adopters","Non-Adopters"
"1890","Non-Adopters","Non-Adopters"
"1891","Non-Adopters","Non-Adopters"
"1892","Non-Adopters","Non-Adopters"
"1893","Non-Adopters","Non-Adopters"
"1894","Non-Adopters","Non-Adopters"
"1895","Late Majority","High Thresh."
"1896","Non-Adopters","Non-Adopters"
"1897","Non-Adopters","Non-Adopters"
"1898","Non-Adopters","Non-Adopters"
"1899","Non-Adopters","Non-Adopters"
"1900","Non-Adopters","Non-Adopters"
"1901","Non-Adopters","Non-Adopters"
"1902","Non-Adopters","Non-Adopters"
"1903","Non-Adopters","Non-Adopters"
"1904","Non-Adopters","Non-Adopters"
"1905","Non-Adopters","Non-Adopters"
"1906","Non-Adopters","Non-Adopters"
"1907","Non-Adopters","Non-Adopters"
"1908","Non-Adopters","Non-Adopters"
"1909","Non-Adopters","Non-Adopters"
"1910","Non-Adopters","Non-Adopters"
"1911","Non-Adopters","Non-Adopters"
"1912","Non-Adopters","Non-Adopters"
"1913","Non-Adopters","Non-Adopters"
"1914","Non-Adopters","Non-Adopters"
"1915","Non-Adopters","Non-Adopters"
"1916","Non-Adopters","Non-Adopters"
"1917","Non-Adopters","Non-Adopters"
"1918","Late Majority","High Thresh."
"1919","Non-Adopters","Non-Adopters"
"1920","Non-Adopters","Non-Adopters"
"1921","Non-Adopters","Non-Adopters"
"1922","Non-Adopters","Non-Adopters"
"1923","Non-Adopters","Non-Adopters"
"1924","Non-Adopters","Non-Adopters"
"1925","Non-Adopters","Non-Adopters"
"1926","Non-Adopters","Non-Adopters"
"1927","Non-Adopters","Non-Adopters"
"1928","Late Majority","High Thresh."
"1929","Non-Adopters","Non-Adopters"
"1930","Non-Adopters","Non-Adopters"
"1931","Non-Adopters","Non-Adopters"
"1932","Non-Adopters","Non-Adopters"
"1933","Non-Adopters","Non-Adopters"
"1934","Non-Adopters","Non-Adopters"
"1935","Non-Adopters","Non-Adopters"
"1936","Non-Adopters","Non-Adopters"
"1937","Non-Adopters","Non-Adopters"
"1938","Non-Adopters","Non-Adopters"
"1939","Non-Adopters","Non-Adopters"
"1940","Non-Adopters","Non-Adopters"
"1941","Late Majority","High Thresh."
"1942","Laggards","High Thresh."
"1943","Non-Adopters","Non-Adopters"
"1944","Laggards","High Thresh."
"1945","Non-Adopters","Non-Adopters"
"1946","Non-Adopters","Non-Adopters"
"1947","Non-Adopters","Non-Adopters"
"1948","Non-Adopters","Non-Adopters"
"1949","Non-Adopters","Non-Adopters"
"1950","Non-Adopters","Non-Adopters"
"1951","Late Majority","High Thresh."
"1952","Non-Adopters","Non-Adopters"
"1953","Non-Adopters","Non-Adopters"
"1954","Non-Adopters","Non-Adopters"
"1955","Non-Adopters","Non-Adopters"
"1956","Non-Adopters","Non-Adopters"
"1957","Non-Adopters","Non-Adopters"
"1958","Non-Adopters","Non-Adopters"
"1959","Non-Adopters","Non-Adopters"
"1960","Non-Adopters","Non-Adopters"
"1961","Non-Adopters","Non-Adopters"
"1962","Non-Adopters","Non-Adopters"
"1963","Non-Adopters","Non-Adopters"
"1964","Non-Adopters","Non-Adopters"
"1965","Non-Adopters","Non-Adopters"
"1966","Non-Adopters","Non-Adopters"
"1967","Non-Adopters","Non-Adopters"
"1968","Non-Adopters","Non-Adopters"
"1969","Non-Adopters","Non-Adopters"
"1970","Non-Adopters","Non-Adopters"
"1971","Non-Adopters","Non-Adopters"
"1972","Non-Adopters","Non-Adopters"
"1973","Non-Adopters","Non-Adopters"
"1974","Late Majority","High Thresh."
"1975","Non-Adopters","Non-Adopters"
"1976","Late Majority","Very Low Thresh."
"1977","Non-Adopters","Non-Adopters"
"1978","Non-Adopters","Non-Adopters"
"1979","Late Majority","Very Low Thresh."
"1980","Non-Adopters","Non-Adopters"
"1981","Non-Adopters","Non-Adopters"
"1982","Late Majority","Low Thresh."
"1983","Non-Adopters","Non-Adopters"
"1984","Non-Adopters","Non-Adopters"
"1985","Non-Adopters","Non-Adopters"
"1986","Late Majority","High Thresh."
"1987","Non-Adopters","Non-Adopters"
"1988","Non-Adopters","Non-Adopters"
"1989","Non-Adopters","Non-Adopters"
"1990","Non-Adopters","Non-Adopters"
"1991","Non-Adopters","Non-Adopters"
"1992","Non-Adopters","Non-Adopters"
"1993","Non-Adopters","Non-Adopters"
"1994","Non-Adopters","Non-Adopters"
"1995","Non-Adopters","Non-Adopters"
"1996","Non-Adopters","Non-Adopters"
"1997","Late Majority","High Thresh."
"1998","Non-Adopters","Non-Adopters"
"1999","Non-Adopters","Non-Adopters"
"2000","Non-Adopters","Non-Adopters"
"2001","Non-Adopters","Non-Adopters"
"2002","Non-Adopters","Non-Adopters"
"2003","Late Majority","High Thresh."
"2004","Non-Adopters","Non-Adopters"
"2005","Non-Adopters","Non-Adopters"
"2006","Non-Adopters","Non-Adopters"
"2007","Non-Adopters","Non-Adopters"
"2008","Non-Adopters","Non-Adopters"
"2009","Non-Adopters","Non-Adopters"
"2010","Non-Adopters","Non-Adopters"
"2011","Non-Adopters","Non-Adopters"
"2012","Non-Adopters","Non-Adopters"
"2013","Non-Adopters","Non-Adopters"
"2014","Late Majority","High Thresh."
"2015","Non-Adopters","Non-Adopters"
"2016","Non-Adopters","Non-Adopters"
"2017","Non-Adopters","Non-Adopters"
"2018","Late Majority","High Thresh."
"2019","Late Majority","High Thresh."
"2020","Late Majority","High Thresh."
"2021","Non-Adopters","Non-Adopters"
"2022","Late Majority","Low Thresh."
"2023","Non-Adopters","Non-Adopters"
"2024","Non-Adopters","Non-Adopters"
"2025","Non-Adopters","Non-Adopters"
"2026","Non-Adopters","Non-Adopters"
"2027","Late Majority","Low Thresh."
"2028","Non-Adopters","Non-Adopters"
"2029","Non-Adopters","Non-Adopters"
"2030","Non-Adopters","Non-Adopters"
"2031","Non-Adopters","Non-Adopters"
"2032","Non-Adopters","Non-Adopters"
"2033","Non-Adopters","Non-Adopters"
"2034","Non-Adopters","Non-Adopters"
"2035","Non-Adopters","Non-Adopters"
"2036","Non-Adopters","Non-Adopters"
"2037","Non-Adopters","Non-Adopters"
"2038","Non-Adopters","Non-Adopters"
"2039","Non-Adopters","Non-Adopters"
"2040","Non-Adopters","Non-Adopters"
"2041","Late Majority","High Thresh."
"2042","Non-Adopters","Non-Adopters"
"2043","Non-Adopters","Non-Adopters"
"2044","Non-Adopters","Non-Adopters"
"2045","Late Majority","High Thresh."
"2046","Non-Adopters","Non-Adopters"
"2047","Non-Adopters","Non-Adopters"
"2048","Non-Adopters","Non-Adopters"
"2049","Non-Adopters","Non-Adopters"
"2050","Laggards","High Thresh."
"2051","Non-Adopters","Non-Adopters"
"2052","Non-Adopters","Non-Adopters"
"2053","Non-Adopters","Non-Adopters"
"2054","Non-Adopters","Non-Adopters"
"2055","Laggards","Low Thresh."
"2056","Non-Adopters","Non-Adopters"
"2057","Non-Adopters","Non-Adopters"
"2058","Non-Adopters","Non-Adopters"
"2059","Laggards","High Thresh."
"2060","Non-Adopters","Non-Adopters"
"2061","Non-Adopters","Non-Adopters"
"2062","Non-Adopters","Non-Adopters"
"2063","Non-Adopters","Non-Adopters"
"2064","Non-Adopters","Non-Adopters"
"2065","Non-Adopters","Non-Adopters"
"2066","Non-Adopters","Non-Adopters"
"2067","Non-Adopters","Non-Adopters"
"2068","Non-Adopters","Non-Adopters"
"2069","Non-Adopters","Non-Adopters"
"2070","Non-Adopters","Non-Adopters"
"2071","Non-Adopters","Non-Adopters"
"2072","Non-Adopters","Non-Adopters"
"2073","Non-Adopters","Non-Adopters"
"2074","Non-Adopters","Non-Adopters"
"2075","Late Majority","High Thresh."
"2076","Late Majority","High Thresh."
"2077","Non-Adopters","Non-Adopters"
"2078","Non-Adopters","Non-Adopters"
"2079","Non-Adopters","Non-Adopters"
"2080","Non-Adopters","Non-Adopters"
"2081","Non-Adopters","Non-Adopters"
"2082","Non-Adopters","Non-Adopters"
"2083","Non-Adopters","Non-Adopters"
"2084","Non-Adopters","Non-Adopters"
"2085","Non-Adopters","Non-Adopters"
"2086","Non-Adopters","Non-Adopters"
"2087","Non-Adopters","Non-Adopters"
"2088","Non-Adopters","Non-Adopters"
"2089","Non-Adopters","Non-Adopters"
"2090","Laggards","High Thresh."
"2091","Late Majority","High Thresh."
"2092","Non-Adopters","Non-Adopters"
"2093","Non-Adopters","Non-Adopters"
"2094","Non-Adopters","Non-Adopters"
"2095","Non-Adopters","Non-Adopters"
"2096","Non-Adopters","Non-Adopters"
"2097","Non-Adopters","Non-Adopters"
"2098","Non-Adopters","Non-Adopters"
"2099","Laggards","High Thresh."
"2100","Non-Adopters","Non-Adopters"
"2101","Non-Adopters","Non-Adopters"
"2102","Non-Adopters","Non-Adopters"
"2103","Non-Adopters","Non-Adopters"
"2104","Early Majority","High Thresh."
"2105","Non-Adopters","Non-Adopters"
"2106","Late Majority","High Thresh."
"2107","Non-Adopters","Non-Adopters"
"2108","Non-Adopters","Non-Adopters"
"2109","Non-Adopters","Non-Adopters"
"2110","Non-Adopters","Non-Adopters"
"2111","Non-Adopters","Non-Adopters"
"2112","Non-Adopters","Non-Adopters"
"2113","Laggards","High Thresh."
"2114","Non-Adopters","Non-Adopters"
"2115","Late Majority","High Thresh."
"2116","Laggards","High Thresh."
"2117","Non-Adopters","Non-Adopters"
"2118","Non-Adopters","Non-Adopters"
"2119","Non-Adopters","Non-Adopters"
"2120","Non-Adopters","Non-Adopters"
"2121","Non-Adopters","Non-Adopters"
"2122","Non-Adopters","Non-Adopters"
"2123","Non-Adopters","Non-Adopters"
"2124","Non-Adopters","Non-Adopters"
"2125","Laggards","High Thresh."
"2126","Non-Adopters","Non-Adopters"
"2127","Non-Adopters","Non-Adopters"
"2128","Non-Adopters","Non-Adopters"
"2129","Non-Adopters","Non-Adopters"
"2130","Non-Adopters","Non-Adopters"
"2131","Laggards","High Thresh."
"2132","Non-Adopters","Non-Adopters"
"2133","Non-Adopters","Non-Adopters"
"2134","Non-Adopters","Non-Adopters"
"2135","Non-Adopters","Non-Adopters"
"2136","Non-Adopters","Non-Adopters"
"2137","Late Majority","High Thresh."
"2138","Non-Adopters","Non-Adopters"
"2139","Non-Adopters","Non-Adopters"
"2140","Non-Adopters","Non-Adopters"
"2141","Non-Adopters","Non-Adopters"
"2142","Non-Adopters","Non-Adopters"
"2143","Non-Adopters","Non-Adopters"
"2144","Non-Adopters","Non-Adopters"
"2145","Non-Adopters","Non-Adopters"
"2146","Non-Adopters","Non-Adopters"
"2147","Non-Adopters","Non-Adopters"
"2148","Non-Adopters","Non-Adopters"
"2149","Non-Adopters","Non-Adopters"
"2150","Non-Adopters","Non-Adopters"
"2151","Late Majority","Low Thresh."
"2152","Non-Adopters","Non-Adopters"
"2153","Non-Adopters","Non-Adopters"
"2154","Non-Adopters","Non-Adopters"
"2155","Non-Adopters","Non-Adopters"
"2156","Non-Adopters","Non-Adopters"
"2157","Non-Adopters","Non-Adopters"
"2158","Non-Adopters","Non-Adopters"
"2159","Non-Adopters","Non-Adopters"
"2160","Non-Adopters","Non-Adopters"
"2161","Late Majority","High Thresh."
"2162","Late Majority","High Thresh."
"2163","Non-Adopters","Non-Adopters"
"2164","Non-Adopters","Non-Adopters"
"2165","Non-Adopters","Non-Adopters"
"2166","Non-Adopters","Non-Adopters"
"2167","Non-Adopters","Non-Adopters"
"2168","Non-Adopters","Non-Adopters"
"2169","Non-Adopters","Non-Adopters"
"2170","Non-Adopters","Non-Adopters"
"2171","Late Majority","High Thresh."
"2172","Late Majority","High Thresh."
"2173","Non-Adopters","Non-Adopters"
"2174","Late Majority","Low Thresh."
"2175","Non-Adopters","Non-Adopters"
"2176","Late Majority","High Thresh."
"2177","Non-Adopters","Non-Adopters"
"2178","Non-Adopters","Non-Adopters"
"2179","Non-Adopters","Non-Adopters"
"2180","Non-Adopters","Non-Adopters"
"2181","Non-Adopters","Non-Adopters"
"2182","Non-Adopters","Non-Adopters"
"2183","Late Majority","High Thresh."
"2184","Non-Adopters","Non-Adopters"
"2185","Non-Adopters","Non-Adopters"
"2186","Non-Adopters","Non-Adopters"
"2187","Non-Adopters","Non-Adopters"
"2188","Non-Adopters","Non-Adopters"
"2189","Non-Adopters","Non-Adopters"
"2190","Non-Adopters","Non-Adopters"
"2191","Non-Adopters","Non-Adopters"
"2192","Non-Adopters","Non-Adopters"
"2193","Laggards","High Thresh."
"2194","Non-Adopters","Non-Adopters"
"2195","Non-Adopters","Non-Adopters"
"2196","Non-Adopters","Non-Adopters"
"2197","Non-Adopters","Non-Adopters"
"2198","Non-Adopters","Non-Adopters"
"2199","Non-Adopters","Non-Adopters"
"2200","Non-Adopters","Non-Adopters"
"2201","Non-Adopters","Non-Adopters"
"2202","Non-Adopters","Non-Adopters"
"2203","Non-Adopters","Non-Adopters"
"2204","Late Majority","Low Thresh."
"2205","Non-Adopters","Non-Adopters"
"2206","Non-Adopters","Non-Adopters"
"2207","Non-Adopters","Non-Adopters"
"2208","Non-Adopters","Non-Adopters"
"2209","Non-Adopters","Non-Adopters"
"2210","Non-Adopters","Non-Adopters"
"2211","Non-Adopters","Non-Adopters"
"2212","Non-Adopters","Non-Adopters"
"2213","Non-Adopters","Non-Adopters"
"2214","Laggards","Very Low Thresh."
"2215","Late Majority","Very Low Thresh."
"2216","Non-Adopters","Non-Adopters"
"2217","Late Majority","High Thresh."
"2218","Non-Adopters","Non-Adopters"
"2219","Non-Adopters","Non-Adopters"
"2220","Late Majority","High Thresh."
"2221","Late Majority","High Thresh."
"2222","Non-Adopters","Non-Adopters"
"2223","Non-Adopters","Non-Adopters"
"2224","Non-Adopters","Non-Adopters"
"2225","Non-Adopters","Non-Adopters"
"2226","Non-Adopters","Non-Adopters"
"2227","Non-Adopters","Non-Adopters"
"2228","Non-Adopters","Non-Adopters"
"2229","Non-Adopters","Non-Adopters"
"2230","Non-Adopters","Non-Adopters"
"2231","Non-Adopters","Non-Adopters"
"2232","Non-Adopters","Non-Adopters"
"2233","Non-Adopters","Non-Adopters"
"2234","Non-Adopters","Non-Adopters"
"2235","Non-Adopters","Non-Adopters"
"2236","Non-Adopters","Non-Adopters"
"2237","Non-Adopters","Non-Adopters"
"2238","Non-Adopters","Non-Adopters"
"2239","Non-Adopters","Non-Adopters"
"2240","Non-Adopters","Non-Adopters"
"2241","Late Majority","High Thresh."
"2242","Non-Adopters","Non-Adopters"
"2243","Non-Adopters","Non-Adopters"
"2244","Non-Adopters","Non-Adopters"
"2245","Late Majority","High Thresh."
"2246","Non-Adopters","Non-Adopters"
"2247","Non-Adopters","Non-Adopters"
"2248","Non-Adopters","Non-Adopters"
"2249","Non-Adopters","Non-Adopters"
"2250","Non-Adopters","Non-Adopters"
"2251","Non-Adopters","Non-Adopters"
"2252","Non-Adopters","Non-Adopters"
"2253","Non-Adopters","Non-Adopters"
"2254","Non-Adopters","Non-Adopters"
"2255","Laggards","Low Thresh."
"2256","Non-Adopters","Non-Adopters"
"2257","Non-Adopters","Non-Adopters"
"2258","Non-Adopters","Non-Adopters"
"2259","Non-Adopters","Non-Adopters"
"2260","Late Majority","High Thresh."
"2261","Late Majority","High Thresh."
"2262","Non-Adopters","Non-Adopters"
"2263","Non-Adopters","Non-Adopters"
"2264","Non-Adopters","Non-Adopters"
"2265","Non-Adopters","Non-Adopters"
"2266","Non-Adopters","Non-Adopters"
"2267","Non-Adopters","Non-Adopters"
"2268","Non-Adopters","Non-Adopters"
"2269","Non-Adopters","Non-Adopters"
"2270","Non-Adopters","Non-Adopters"
"2271","Late Majority","High Thresh."
"2272","Late Majority","High Thresh."
"2273","Late Majority","High Thresh."
"2274","Non-Adopters","Non-Adopters"
"2275","Non-Adopters","Non-Adopters"
"2276","Non-Adopters","Non-Adopters"
"2277","Non-Adopters","Non-Adopters"
"2278","Non-Adopters","Non-Adopters"
"2279","Non-Adopters","Non-Adopters"
"2280","Non-Adopters","Non-Adopters"
"2281","Non-Adopters","Non-Adopters"
"2282","Non-Adopters","Non-Adopters"
"2283","Non-Adopters","Non-Adopters"
"2284","Non-Adopters","Non-Adopters"
"2285","Non-Adopters","Non-Adopters"
"2286","Non-Adopters","Non-Adopters"
"2287","Non-Adopters","Non-Adopters"
"2288","Non-Adopters","Non-Adopters"
"2289","Non-Adopters","Non-Adopters"
"2290","Non-Adopters","Non-Adopters"
"2291","Non-Adopters","Non-Adopters"
"2292","Non-Adopters","Non-Adopters"
"2293","Non-Adopters","Non-Adopters"
"2294","Non-Adopters","Non-Adopters"
"2295","Non-Adopters","Non-Adopters"
"2296","Non-Adopters","Non-Adopters"
"2297","Non-Adopters","Non-Adopters"
"2298","Non-Adopters","Non-Adopters"
"2299","Non-Adopters","Non-Adopters"
"2300","Non-Adopters","Non-Adopters"
"2301","Non-Adopters","Non-Adopters"
"2302","Non-Adopters","Non-Adopters"
"2303","Non-Adopters","Non-Adopters"
"2304","Laggards","High Thresh."
"2305","Non-Adopters","Non-Adopters"
"2306","Non-Adopters","Non-Adopters"
"2307","Non-Adopters","Non-Adopters"
"2308","Late Majority","High Thresh."
"2309","Laggards","High Thresh."
"2310","Non-Adopters","Non-Adopters"
"2311","Laggards","Low Thresh."
"2312","Non-Adopters","Non-Adopters"
"2313","Non-Adopters","Non-Adopters"
"2314","Non-Adopters","Non-Adopters"
"2315","Late Majority","High Thresh."
"2316","Non-Adopters","Non-Adopters"
"2317","Non-Adopters","Non-Adopters"
"2318","Non-Adopters","Non-Adopters"
"2319","Non-Adopters","Non-Adopters"
"2320","Non-Adopters","Non-Adopters"
"2321","Non-Adopters","Non-Adopters"
"2322","Non-Adopters","Non-Adopters"
"2323","Non-Adopters","Non-Adopters"
"2324","Non-Adopters","Non-Adopters"
"2325","Non-Adopters","Non-Adopters"
"2326","Non-Adopters","Non-Adopters"
"2327","Non-Adopters","Non-Adopters"
"2328","Non-Adopters","Non-Adopters"
"2329","Non-Adopters","Non-Adopters"
"2330","Non-Adopters","Non-Adopters"
"2331","Laggards","Very Low Thresh."
"2332","Non-Adopters","Non-Adopters"
"2333","Non-Adopters","Non-Adopters"
"2334","Non-Adopters","Non-Adopters"
"2335","Non-Adopters","Non-Adopters"
"2336","Late Majority","High Thresh."
"2337","Non-Adopters","Non-Adopters"
"2338","Non-Adopters","Non-Adopters"
"2339","Non-Adopters","Non-Adopters"
"2340","Non-Adopters","Non-Adopters"
"2341","Non-Adopters","Non-Adopters"
"2342","Non-Adopters","Non-Adopters"
"2343","Non-Adopters","Non-Adopters"
"2344","Laggards","High Thresh."
"2345","Non-Adopters","Non-Adopters"
"2346","Non-Adopters","Non-Adopters"
"2347","Non-Adopters","Non-Adopters"
"2348","Non-Adopters","Non-Adopters"
"2349","Non-Adopters","Non-Adopters"
"2350","Non-Adopters","Non-Adopters"
"2351","Laggards","Low Thresh."
"2352","Non-Adopters","Non-Adopters"
"2353","Laggards","High Thresh."
"2354","Laggards","Low Thresh."
"2355","Non-Adopters","Non-Adopters"
"2356","Non-Adopters","Non-Adopters"
"2357","Non-Adopters","Non-Adopters"
"2358","Non-Adopters","Non-Adopters"
"2359","Non-Adopters","Non-Adopters"
"2360","Non-Adopters","Non-Adopters"
"2361","Non-Adopters","Non-Adopters"
"2362","Laggards","Low Thresh."
"2363","Non-Adopters","Non-Adopters"
"2364","Non-Adopters","Non-Adopters"
"2365","Non-Adopters","Non-Adopters"
"2366","Late Majority","High Thresh."
"2367","Non-Adopters","Non-Adopters"
"2368","Non-Adopters","Non-Adopters"
"2369","Non-Adopters","Non-Adopters"
"2370","Non-Adopters","Non-Adopters"
"2371","Late Majority","High Thresh."
"2372","Non-Adopters","Non-Adopters"
"2373","Non-Adopters","Non-Adopters"
"2374","Non-Adopters","Non-Adopters"
"2375","Non-Adopters","Non-Adopters"
"2376","Non-Adopters","Non-Adopters"
"2377","Late Majority","High Thresh."
"2378","Non-Adopters","Non-Adopters"
"2379","Non-Adopters","Non-Adopters"
"2380","Non-Adopters","Non-Adopters"
"2381","Non-Adopters","Non-Adopters"
"2382","Non-Adopters","Non-Adopters"
"2383","Non-Adopters","Non-Adopters"
"2384","Laggards","High Thresh."
"2385","Non-Adopters","Non-Adopters"
"2386","Non-Adopters","Non-Adopters"
"2387","Non-Adopters","Non-Adopters"
"2388","Laggards","High Thresh."
"2389","Late Majority","High Thresh."
"2390","Non-Adopters","Non-Adopters"
"2391","Non-Adopters","Non-Adopters"
"2392","Non-Adopters","Non-Adopters"
"2393","Non-Adopters","Non-Adopters"
"2394","Non-Adopters","Non-Adopters"
"2395","Non-Adopters","Non-Adopters"
"2396","Non-Adopters","Non-Adopters"
"2397","Non-Adopters","Non-Adopters"
"2398","Non-Adopters","Non-Adopters"
"2399","Non-Adopters","Non-Adopters"
"2400","Non-Adopters","Non-Adopters"
"2401","Non-Adopters","Non-Adopters"
"2402","Non-Adopters","Non-Adopters"
"2403","Non-Adopters","Non-Adopters"
"2404","Non-Adopters","Non-Adopters"
"2405","Laggards","High Thresh."
"2406","Non-Adopters","Non-Adopters"
"2407","Non-Adopters","Non-Adopters"
"2408","Non-Adopters","Non-Adopters"
"2409","Non-Adopters","Non-Adopters"
